RowsA,ColsA,ColsB,CGRA,CPU,Speedup
32,32,32,34962,469535,"13,43"
32,32,33,35525,517991,"14,58"
32,32,34,36213,533671,"14,74"
32,32,35,49890,549351,"11,01"
32,33,32,35986,483839,"13,45"
32,33,33,36548,533760,"14,60"
32,33,34,36178,514123,"14,21"
32,33,35,51368,529227,"10,30"
32,34,32,37010,498175,"13,46"
32,34,33,37612,513803,"13,66"
32,34,34,38308,566240,"14,78"
32,34,35,52873,544907,"10,31"
32,35,32,38034,512511,"13,48"
32,35,33,38656,528587,"13,67"
32,35,34,39437,544587,"13,81"
32,35,35,54435,599680,"11,02"
32,36,32,39058,526847,"13,49"
32,36,33,39706,543371,"13,68"
32,36,34,40473,559819,"13,83"
32,36,35,56000,576267,"10,29"
32,37,32,40082,541183,"13,50"
32,37,33,40776,558155,"13,69"
32,37,34,41541,575051,"13,84"
32,37,35,57473,591947,"10,30"
32,38,32,41106,555519,"13,51"
32,38,33,41785,572939,"13,71"
32,38,34,42512,590283,"13,89"
32,38,35,58903,607627,"10,32"
32,39,32,42130,569855,"13,53"
32,39,33,42829,587723,"13,72"
32,39,34,43553,605515,"13,90"
32,39,35,60390,623307,"10,32"
32,40,32,43154,584191,"13,54"
32,40,33,43870,602507,"13,73"
32,40,34,44632,620747,"13,91"
32,40,35,61915,638987,"10,32"
32,41,32,44178,598527,"13,55"
32,41,33,44911,617291,"13,74"
32,41,34,45634,635979,"13,94"
32,41,35,63363,654667,"10,33"
32,42,32,45202,612863,"13,56"
32,42,33,45952,632075,"13,76"
32,42,34,46729,651211,"13,94"
32,42,35,64889,670347,"10,33"
32,43,32,46226,627199,"13,57"
32,43,33,46993,646859,"13,77"
32,43,34,47724,666443,"13,96"
32,43,35,66317,686027,"10,34"
32,44,32,47250,641535,"13,58"
32,44,33,48031,661643,"13,78"
32,44,34,48774,681675,"13,98"
32,44,35,67811,701707,"10,35"
32,45,32,48274,655871,"13,59"
32,45,33,49071,676427,"13,78"
32,45,34,49825,696907,"13,99"
32,45,35,69306,717387,"10,35"
32,46,32,49298,670207,"13,60"
32,46,33,50067,691211,"13,81"
32,46,34,50918,712139,"13,99"
32,46,35,70803,733067,"10,35"
32,47,32,50322,684543,"13,60"
32,47,33,51060,705995,"13,83"
32,47,34,51906,727371,"14,01"
32,47,35,72298,748747,"10,36"
32,48,32,51346,698879,"13,61"
32,48,33,52100,720779,"13,83"
32,48,34,52962,742603,"14,02"
32,48,35,73799,764427,"10,36"
32,49,32,52370,713215,"13,62"
32,49,33,53289,735563,"13,80"
32,49,34,54019,757835,"14,03"
32,49,35,75302,780107,"10,36"
32,50,32,53394,727551,"13,63"
32,50,33,54281,750347,"13,82"
32,50,34,55028,773067,"14,05"
32,50,35,76756,795787,"10,37"
32,51,32,54418,741887,"13,63"
32,51,33,55275,765131,"13,84"
32,51,34,56132,788299,"14,04"
32,51,35,78306,811467,"10,36"
32,52,32,55442,756223,"13,64"
32,52,33,56368,779915,"13,84"
32,52,34,57195,803531,"14,05"
32,52,35,79815,827147,"10,36"
32,53,32,56466,770559,"13,65"
32,53,33,57465,794699,"13,83"
32,53,34,58259,818763,"14,05"
32,53,35,81326,842827,"10,36"
32,54,32,57490,784895,"13,65"
32,54,33,58507,809483,"13,84"
32,54,34,59325,833995,"14,06"
32,54,35,82839,858507,"10,36"
32,55,32,58514,799231,"13,66"
32,55,33,59550,824267,"13,84"
32,55,34,60390,849227,"14,06"
32,55,35,84350,874187,"10,36"
32,56,32,59538,813567,"13,66"
32,56,33,60593,839051,"13,85"
32,56,34,61461,864459,"14,07"
32,56,35,85867,889867,"10,36"
32,57,32,60562,827903,"13,67"
32,57,33,61636,853835,"13,85"
32,57,34,62536,879691,"14,07"
32,57,35,87388,905547,"10,36"
32,58,32,61586,842239,"13,68"
32,58,33,62679,868619,"13,86"
32,58,34,63553,894923,"14,08"
32,58,35,88851,921227,"10,37"
32,59,32,62610,856575,"13,68"
32,59,33,63722,883403,"13,86"
32,59,34,64682,910155,"14,07"
32,59,35,90426,936907,"10,36"
32,60,32,63634,870911,"13,69"
32,60,33,64765,898187,"13,87"
32,60,34,65761,925387,"14,07"
32,60,35,91951,952587,"10,36"
32,61,32,64658,885247,"13,69"
32,61,33,65808,912971,"13,87"
32,61,34,66842,940619,"14,07"
32,61,35,93478,968267,"10,36"
32,62,32,65682,899583,"13,70"
32,62,33,66598,993196,"14,91"
32,62,34,67925,955851,"14,07"
32,62,35,95007,983947,"10,36"
32,63,32,66706,913919,"13,70"
32,63,33,67894,942539,"13,88"
32,63,34,69006,971083,"14,07"
32,63,35,96534,999627,"10,36"
32,64,32,67730,928294,"13,71"
32,64,33,68945,1024876,"14,87"
32,64,34,67861,986315,"14,53"
32,64,35,98014,1015307,"10,36"
32,65,32,68754,942591,"13,71"
32,65,33,69683,1040716,"14,94"
32,65,34,68961,1072236,"15,55"
32,65,35,99557,1103756,"11,09"
32,66,32,69778,956927,"13,71"
32,66,33,70711,986854,"13,96"
32,66,34,69987,1088556,"15,55"
32,66,35,101063,1120556,"11,09"
32,67,32,70802,971263,"13,72"
32,67,33,71739,1072396,"14,95"
32,67,34,71013,1104876,"15,56"
32,67,35,102569,1137356,"11,09"
32,68,32,71826,985599,"13,72"
32,68,33,72767,1088236,"14,96"
32,68,34,72039,1047206,"14,54"
32,68,35,104059,1154156,"11,09"
32,69,32,72850,999935,"13,73"
32,69,33,73795,1104076,"14,96"
32,69,34,73065,1137516,"15,57"
32,69,35,105563,1170956,"11,09"
32,70,32,73874,1014271,"13,73"
32,70,33,74823,1119916,"14,97"
32,70,34,74089,1153836,"15,57"
32,70,35,107067,1109350,"10,36"
32,71,32,74898,1028607,"13,73"
32,71,33,75851,1135756,"14,97"
32,71,34,75113,1170156,"15,58"
32,71,35,108571,1204556,"11,09"
33,32,32,34983,517933,"14,81"
33,32,33,35682,499360,"13,99"
33,32,34,50927,514479,"10,10"
33,32,35,65489,529593,"8,09"
33,33,32,36030,533773,"14,81"
33,33,33,36679,514566,"14,03"
33,33,34,51907,567176,"10,93"
33,33,35,67450,583841,"8,66"
33,34,32,37054,549620,"14,83"
33,34,33,37689,529852,"14,06"
33,34,34,53994,583933,"10,81"
33,34,35,69416,561933,"8,10"
33,35,32,38078,565460,"14,85"
33,35,33,38682,545098,"14,09"
33,35,34,55530,561603,"10,11"
33,35,35,73419,618418,"8,42"
33,36,32,39102,581300,"14,87"
33,36,33,39752,560344,"14,10"
33,36,34,57066,577311,"10,12"
33,36,35,73332,594273,"8,10"
33,37,32,40126,597140,"14,88"
33,37,33,40745,575590,"14,13"
33,37,34,58606,593019,"10,12"
33,37,35,75330,610443,"8,10"
33,38,32,41150,612980,"14,90"
33,38,33,41807,590836,"14,13"
33,38,34,60140,608727,"10,12"
33,38,35,77270,626613,"8,11"
33,39,32,42174,628820,"14,91"
33,39,33,42799,606082,"14,16"
33,39,34,61673,624435,"10,12"
33,39,35,79190,642783,"8,12"
33,40,32,43198,644660,"14,92"
33,40,33,43786,621328,"14,19"
33,40,34,63207,640143,"10,13"
33,40,35,81170,658953,"8,12"
33,41,32,44222,660500,"14,94"
33,41,33,44775,636574,"14,22"
33,41,34,64739,655851,"10,13"
33,41,35,83151,675123,"8,12"
33,42,32,45246,676340,"14,95"
33,42,33,45760,651820,"14,24"
33,42,34,66272,671559,"10,13"
33,42,35,85091,691293,"8,12"
33,43,32,46270,692180,"14,96"
33,43,33,46745,667066,"14,27"
33,43,34,67805,687267,"10,14"
33,43,35,87111,707463,"8,12"
33,44,32,47294,708020,"14,97"
33,44,33,47707,682312,"14,30"
33,44,34,69339,702975,"10,14"
33,44,35,89098,723633,"8,12"
33,45,32,48318,723860,"14,98"
33,45,33,48688,697558,"14,33"
33,45,34,70871,718683,"10,14"
33,45,35,91086,739803,"8,12"
33,46,32,49342,739700,"14,99"
33,46,33,49774,712804,"14,32"
33,46,34,72403,734391,"10,14"
33,46,35,93077,755973,"8,12"
33,47,32,50366,755540,"15,00"
33,47,33,50828,728050,"14,32"
33,47,34,73935,750099,"10,15"
33,47,35,95066,772143,"8,12"
33,48,32,51390,771380,"15,01"
33,48,33,51882,743296,"14,33"
33,48,34,75471,765807,"10,15"
33,48,35,97061,788313,"8,12"
33,49,32,52414,787220,"15,02"
33,49,33,52862,758542,"14,35"
33,49,34,77005,781515,"10,15"
33,49,35,99060,804483,"8,12"
33,50,32,53438,803060,"15,03"
33,50,33,53919,773788,"14,35"
33,50,34,78539,797223,"10,15"
33,50,35,101009,820653,"8,12"
33,51,32,54462,818900,"15,04"
33,51,33,54897,789034,"14,37"
33,51,34,80073,812931,"10,15"
33,51,35,103054,836823,"8,12"
33,52,32,55486,834740,"15,04"
33,52,33,55957,804280,"14,37"
33,52,34,81607,828639,"10,15"
33,52,35,105057,852993,"8,12"
33,53,32,56510,850580,"15,05"
33,53,33,56933,819526,"14,39"
