RowsA,ColsA,ColsB,CGRA,CPU,Speedup
32,32,32,34962,469535,"13,43"
32,32,33,35525,517991,"14,58"
32,32,34,36213,533671,"14,74"
32,32,35,49890,549351,"11,01"
32,32,36,39245,528198,"13,46"
32,32,37,40058,580711,"14,50"
32,32,38,40501,596391,"14,73"
32,32,39,50531,612071,"12,11"
32,32,40,43576,586822,"13,47"
32,32,41,44526,643431,"14,45"
32,32,42,44860,659111,"14,69"
32,32,43,51308,674791,"13,15"
32,32,44,47880,645446,"13,48"
32,32,45,48862,706151,"14,45"
32,32,46,49111,721831,"14,70"
32,32,47,52019,737511,"14,18"
32,32,48,52184,704070,"13,49"
32,32,49,53136,768871,"14,47"
32,32,50,53476,784551,"14,67"
32,32,51,54138,800231,"14,78"
32,32,52,56488,762694,"13,50"
32,32,53,57440,831591,"14,48"
32,32,54,57742,847271,"14,67"
32,32,55,58439,862951,"14,77"
32,32,56,60792,821318,"13,51"
32,32,57,61744,894311,"14,48"
32,32,58,62052,909991,"14,66"
32,32,59,62714,925671,"14,76"
32,32,60,65096,879942,"13,52"
32,32,61,66078,957031,"14,48"
32,32,62,66380,972711,"14,65"
32,32,63,67046,988391,"14,74"
32,32,64,69400,1004007,"14,47"
32,32,65,70383,953222,"13,54"
32,32,66,70623,967878,"13,70"
32,32,67,71312,982534,"13,78"
32,32,68,73704,1066791,"14,47"
32,32,69,74687,1011846,"13,55"
32,32,70,74926,1026502,"13,70"
32,32,71,75589,1041158,"13,77"
32,33,32,35986,483839,"13,45"
32,33,33,36548,533760,"14,60"
32,33,34,36178,514123,"14,21"
32,33,35,51368,529227,"10,30"
32,33,36,40397,582316,"14,41"
32,33,37,41234,559435,"13,57"
32,33,38,41721,574539,"13,77"
32,33,39,52071,589643,"11,32"
32,33,40,44856,646956,"14,42"
32,33,41,45836,619851,"13,52"
32,33,42,46214,634955,"13,74"
32,33,43,52813,650059,"12,31"
32,33,44,49288,711596,"14,44"
32,33,45,50268,680267,"13,53"
32,33,46,50580,695371,"13,75"
32,33,47,53539,710475,"13,27"
32,33,48,53720,776236,"14,45"
32,33,49,54733,740683,"13,53"
32,33,50,55049,755787,"13,73"
32,33,51,55689,770891,"13,84"
32,33,52,58152,840876,"14,46"
32,33,53,59133,801099,"13,55"
32,33,54,59477,816203,"13,72"
32,33,55,60150,831307,"13,82"
32,33,56,62584,905516,"14,47"
32,33,57,63565,861515,"13,55"
32,33,58,63911,876619,"13,72"
32,33,59,64551,891723,"13,81"
32,33,60,67016,970156,"14,48"
32,33,61,68028,921931,"13,55"
32,33,62,68374,937035,"13,70"
32,33,63,69014,952139,"13,80"
32,33,64,71448,1034727,"14,48"
32,33,65,72461,1050956,"14,50"
32,33,66,72740,997414,"13,71"
32,33,67,73413,1083276,"14,76"
32,33,68,75880,1027659,"13,54"
32,33,69,76893,1115596,"14,51"
32,33,70,77172,1131756,"14,67"
32,33,71,77811,1147916,"14,75"
32,34,32,37010,498175,"13,46"
32,34,33,37612,513803,"13,66"
32,34,34,38308,566240,"14,78"
32,34,35,52873,544907,"10,31"
32,34,36,41549,599596,"14,43"
32,34,37,42378,576011,"13,59"
32,34,38,42978,591563,"13,76"
32,34,39,53636,607115,"11,32"
32,34,40,46136,666156,"14,44"
32,34,41,47145,638219,"13,54"
32,34,42,47579,653771,"13,74"
32,34,43,54385,669323,"12,31"
32,34,44,50696,732716,"14,45"
32,34,45,51705,700427,"13,55"
32,34,46,52129,715979,"13,73"
32,34,47,55167,731531,"13,26"
32,34,48,55256,799276,"14,46"
32,34,49,56298,762635,"13,55"
32,34,50,56668,778187,"13,73"
32,34,51,57243,793739,"13,87"
32,34,52,59816,865836,"14,47"
32,34,53,60826,824843,"13,56"
32,34,54,61257,840395,"13,72"
32,34,55,61865,855947,"13,84"
32,34,56,64376,932396,"14,48"
32,34,57,65386,887051,"13,57"
32,34,58,65813,902603,"13,71"
32,34,59,66388,918155,"13,83"
32,34,60,68936,998956,"14,49"
32,34,61,69978,949259,"13,57"
32,34,62,70379,964811,"13,71"
32,34,63,70954,980363,"13,82"
32,34,64,73496,1065447,"14,50"
32,34,65,74539,1082156,"14,52"
32,34,66,74933,1098796,"14,66"
32,34,67,75542,1115436,"14,77"
32,34,68,78056,1132007,"14,50"
32,34,69,79099,1148716,"14,52"
32,34,70,79459,1165356,"14,67"
32,34,71,80068,1181996,"14,76"
32,35,32,38034,512511,"13,48"
32,35,33,38656,528587,"13,67"
32,35,34,39437,544587,"13,81"
32,35,35,54435,599680,"11,02"
32,35,36,42701,616876,"14,45"
32,35,37,43554,592587,"13,61"
32,35,38,44121,608587,"13,79"
32,35,39,55162,624587,"11,32"
32,35,40,47416,685356,"14,45"
32,35,41,48454,656587,"13,55"
32,35,42,48833,672587,"13,77"
32,35,43,55927,688587,"12,31"
32,35,44,52104,753836,"14,47"
32,35,45,53143,720587,"13,56"
32,35,46,53519,736587,"13,76"
32,35,47,56681,752587,"13,28"
32,35,48,56792,822316,"14,48"
32,35,49,57830,784587,"13,57"
32,35,50,58172,800587,"13,76"
32,35,51,58750,816587,"13,90"
32,35,52,61480,890796,"14,49"
32,35,53,62553,848587,"13,57"
32,35,54,62864,864587,"13,75"
32,35,55,63480,880587,"13,87"
32,35,56,66168,959276,"14,50"
32,35,57,67207,912587,"13,58"
32,35,58,67583,928587,"13,74"
32,35,59,68196,944587,"13,85"
32,35,60,70856,1027756,"14,50"
32,35,61,71928,976587,"13,58"
32,35,62,72273,992587,"13,73"
32,35,63,72851,1008587,"13,84"
32,35,64,75544,1096167,"14,51"
32,35,65,76617,1113356,"14,53"
32,35,66,76959,1130476,"14,69"
32,35,67,77541,1147596,"14,80"
32,35,68,80232,1088587,"13,57"
32,35,69,81305,1181836,"14,54"
32,35,70,81641,1120550,"13,73"
32,35,71,82256,1216076,"14,78"
33,32,32,34983,517933,"14,81"
33,32,33,35682,499360,"13,99"
33,32,34,50927,514479,"10,10"
33,32,35,65489,529593,"8,09"
33,32,36,39384,544707,"13,83"
33,32,37,40000,598861,"14,97"
33,32,38,53246,574935,"10,80"
33,32,39,67892,590049,"8,69"
33,32,40,43769,605163,"13,83"
33,32,41,44402,663541,"14,94"
33,32,42,55409,635391,"11,47"
33,32,43,70363,650505,"9,24"
33,32,44,48093,665619,"13,84"
33,32,45,48757,728221,"14,94"
33,32,46,57675,695847,"12,06"
33,32,47,72856,710961,"9,76"
33,32,48,52417,726075,"13,85"
33,32,49,53080,792901,"14,94"
33,32,50,59926,756303,"12,62"
33,32,51,75269,771417,"10,25"
33,32,52,56741,786531,"13,86"
33,32,53,57402,857581,"14,94"
33,32,54,62190,816759,"13,13"
33,32,55,77631,831873,"10,72"
33,32,56,61065,846987,"13,87"
33,32,57,61720,922261,"14,94"
33,32,58,64454,877215,"13,61"
33,32,59,80082,892329,"11,14"
33,32,60,65389,907443,"13,88"
33,32,61,66018,986941,"14,95"
33,32,62,66733,937671,"14,05"
33,32,63,82624,1019281,"12,34"
33,32,64,69713,967861,"13,88"
33,32,65,70342,983013,"13,97"
33,32,66,69969,1067791,"15,26"
33,32,67,85101,1083961,"12,74"
33,32,68,74037,1100131,"14,86"
33,32,69,74666,1043469,"13,98"
33,32,70,74280,1132471,"15,25"
33,32,71,87502,1148641,"13,13"
33,33,32,36030,533773,"14,81"
33,33,33,36679,514566,"14,03"
33,33,34,51907,567176,"10,93"
33,33,35,67450,583841,"8,66"
33,33,36,40534,600506,"14,81"
33,33,37,41142,576910,"14,02"
33,33,38,54853,633836,"11,56"
33,33,39,69958,650501,"9,30"
33,33,40,45047,667166,"14,81"
33,33,41,45703,639214,"13,99"
33,33,42,57086,700496,"12,27"
33,33,43,72491,717161,"9,89"
33,33,44,49499,733826,"14,83"
33,33,45,50159,701518,"13,99"
33,33,46,59416,767156,"12,91"
33,33,47,75065,783821,"10,44"
33,33,48,53951,800486,"14,84"
33,33,49,54643,763822,"13,98"
33,33,50,61743,833816,"13,50"
33,33,51,77624,850481,"10,96"
33,33,52,58403,867146,"14,85"
33,33,53,59093,826126,"13,98"
33,33,54,64071,900476,"14,05"
33,33,55,80021,917141,"11,46"
33,33,56,62855,933806,"14,86"
33,33,57,63543,888430,"13,98"
33,33,58,66403,967136,"14,56"
33,33,59,82533,983801,"11,92"
33,33,60,67307,1000466,"14,86"
33,33,61,67963,950734,"13,99"
33,33,62,68748,1033796,"15,04"
33,33,63,85035,981886,"11,55"
33,33,64,71759,997389,"13,90"
33,33,65,72415,1083791,"14,97"
33,33,66,72028,1028581,"14,28"
33,33,67,87727,1044190,"11,90"
33,33,68,76211,1059766,"13,91"
33,33,69,76867,1150451,"14,97"
33,33,70,76475,1090918,"14,27"
33,33,71,90182,1106494,"12,27"
33,34,32,37054,549620,"14,83"
33,34,33,37689,529852,"14,06"
33,34,34,53994,583933,"10,81"
33,34,35,69416,561933,"8,10"
33,34,36,41686,577971,"13,86"
