function,size,cc,instr,lds,cpi,loads_per_instr,loads_per_cycle,memory_intensity,classification
Normalize,120x400,3014821,2175151,3014846,1.386,1.386,1.0,1.386,memory-bound
Multiply,120x400x16,11563821,8483414,11563846,1.363,1.363,1.0,1.363,memory-bound
Normalize,120x16,34873,26274,34898,1.327,1.328,1.001,1.328,memory-bound
Normalize,121x16,320681,229558,320706,1.397,1.397,1.0,1.397,memory-bound
Multiply,121x16x4,128402,94757,128427,1.355,1.355,1.0,1.355,memory-bound
Multiply,121x16x4,128402,94757,128427,1.355,1.355,1.0,1.355,memory-bound
Multiply,121x16x4,128402,94757,128427,1.355,1.355,1.0,1.355,memory-bound
Transpose,121x4,5830,3403,5855,1.713,1.721,1.004,1.721,memory-bound
MatMul,121x4x121,1070764,733528,1070789,1.46,1.46,1.0,1.46,memory-bound
Softermax,121x121,3240403,1870155,3240428,1.733,1.733,1.0,1.733,memory-bound
MatMul,121x121x4,886723,591958,886748,1.498,1.498,1.0,1.498,memory-bound
Multiply,121x16x4,128402,94757,128427,1.355,1.355,1.0,1.355,memory-bound
Multiply,121x16x4,128402,94757,128427,1.355,1.355,1.0,1.355,memory-bound
Multiply,121x16x4,128402,94757,128427,1.355,1.355,1.0,1.355,memory-bound
Transpose,121x4,5830,3403,5855,1.713,1.721,1.004,1.721,memory-bound
MatMul,121x4x121,1070764,733528,1070789,1.46,1.46,1.0,1.46,memory-bound
Softermax,121x121,3240403,1870155,3240428,1.733,1.733,1.0,1.733,memory-bound
MatMul,121x121x4,886723,591958,886748,1.498,1.498,1.0,1.498,memory-bound
Multiply,121x16x4,128402,94757,128427,1.355,1.355,1.0,1.355,memory-bound
Multiply,121x16x4,128402,94757,128427,1.355,1.355,1.0,1.355,memory-bound
Multiply,121x16x4,128402,94757,128427,1.355,1.355,1.0,1.355,memory-bound
Transpose,121x4,5830,3403,5855,1.713,1.721,1.004,1.721,memory-bound
MatMul,121x4x121,1070764,733528,1070789,1.46,1.46,1.0,1.46,memory-bound
Softermax,121x121,3240403,1870155,3240428,1.733,1.733,1.0,1.733,memory-bound
MatMul,121x121x4,886723,591958,886748,1.498,1.498,1.0,1.498,memory-bound
Multiply,121x16x4,128402,94757,128427,1.355,1.355,1.0,1.355,memory-bound
Multiply,121x16x4,128402,94757,128427,1.355,1.355,1.0,1.355,memory-bound
Multiply,121x16x4,128402,94757,128427,1.355,1.355,1.0,1.355,memory-bound
Transpose,121x4,5830,3403,5855,1.713,1.721,1.004,1.721,memory-bound
MatMul,121x4x121,1070764,733528,1070789,1.46,1.46,1.0,1.46,memory-bound
Softermax,121x121,3240403,1870155,3240428,1.733,1.733,1.0,1.733,memory-bound
MatMul,121x121x4,28710,19624,28735,1.463,1.464,1.001,1.464,memory-bound
Multiply,121x16x16,508826,376445,508851,1.352,1.352,1.0,1.352,memory-bound
Add,121x16,29069,19382,29094,1.5,1.501,1.001,1.501,memory-bound
Normalize,121x16,324438,231371,324463,1.402,1.402,1.0,1.402,memory-bound
Multiply,121x16x4,7018,4377,7043,1.603,1.609,1.004,1.609,memory-bound
Multiply,121x4x16,160346,120893,160371,1.326,1.327,1.0,1.327,memory-bound
Add,121x16,29069,19382,29094,1.5,1.501,1.001,1.501,memory-bound
Normalize,121x16,325722,231996,325747,1.404,1.404,1.0,1.404,memory-bound
Multiply,121x16x4,128402,94757,128427,1.355,1.355,1.0,1.355,memory-bound
Multiply,121x16x4,128402,94757,128427,1.355,1.355,1.0,1.355,memory-bound
Multiply,121x16x4,128402,94757,128427,1.355,1.355,1.0,1.355,memory-bound
Transpose,121x4,5830,3403,5855,1.713,1.721,1.004,1.721,memory-bound
MatMul,121x4x121,1070764,733528,1070789,1.46,1.46,1.0,1.46,memory-bound
Softermax,121x121,3241218,1871353,3241243,1.732,1.732,1.0,1.732,memory-bound
MatMul,121x121x4,886723,591958,886748,1.498,1.498,1.0,1.498,memory-bound
Multiply,121x16x4,128402,94757,128427,1.355,1.355,1.0,1.355,memory-bound
Multiply,121x16x4,128402,94757,128427,1.355,1.355,1.0,1.355,memory-bound
Multiply,121x16x4,128402,94757,128427,1.355,1.355,1.0,1.355,memory-bound
Transpose,121x4,5830,3403,5855,1.713,1.721,1.004,1.721,memory-bound
