function,size,cc,instr,lds,str,ld_stalls,pipe_stalls,cpi,loads_per_instr,loads_per_cycle,stores_per_instr,stalls_per_instr,pipe_stalls_ratio,memory_intensity,classification
Normalize,120x400,2917103,2175151,2917128,2271638,2175157,2917128,1.341,1.341,1.0,1.044,1.0,1.0,1.341,memory-bound
Multiply,120x400x16,10795821,8483414,10795846,8485460,8483420,10795846,1.273,1.273,1.0,1.0,1.0,1.0,1.273,memory-bound
Add bias,120x16,34228,27741,34253,29787,27747,34253,1.234,1.235,1.001,1.074,1.0,1.001,1.235,memory-bound
Normalize,120x16,336271,239076,336296,243403,239082,336296,1.407,1.407,1.0,1.018,1.0,1.0,1.407,memory-bound
CLS Concatenate,120x16,27134,19381,27159,21325,19387,27159,1.4,1.401,1.001,1.1,1.0,1.001,1.401,memory-bound
Positional embedding,120x16,32815,26273,32840,28458,26279,32840,1.249,1.25,1.001,1.083,1.0,1.001,1.25,memory-bound
Normalize,121x16,339163,240898,339188,245261,240904,339188,1.408,1.408,1.0,1.018,1.0,1.0,1.408,memory-bound
Multiply,121x16x4,120658,94757,120683,95368,94763,120683,1.273,1.274,1.0,1.006,1.0,1.0,1.274,memory-bound
Multiply,121x16x4,120658,94757,120683,95368,94763,120683,1.273,1.274,1.0,1.006,1.0,1.0,1.274,memory-bound
Multiply,121x16x4,120658,94757,120683,95368,94763,120683,1.273,1.274,1.0,1.006,1.0,1.0,1.274,memory-bound
Transpose,121x4,3959,2965,3984,2971,2971,3984,1.335,1.344,1.006,1.002,1.002,1.006,1.344,memory-bound
MatMul scale,484,4861,3402,4886,3408,3408,4886,1.429,1.436,1.005,1.002,1.002,1.005,1.436,memory-bound
MatMul,121x4x121,1070764,733528,1070789,733534,733534,1070789,1.46,1.46,1.0,1.0,1.0,1.0,1.46,memory-bound
Softermax,121x121,3263777,1856848,3263802,1856854,1856854,3263802,1.758,1.758,1.0,1.0,1.0,1.0,1.758,memory-bound
MatMul,121x121x4,886723,591958,886748,591964,591964,886748,1.498,1.498,1.0,1.0,1.0,1.0,1.498,memory-bound
