function,size,cc,instr,lds,str,ld_stalls,pipe_stalls
Normalize,120x400,2917103,2175151,2917128,2271638,2175157,2917128
Multiply,120x400x16,10795821,8483414,10795846,8485460,8483420,10795846
Add bias,120x16,34228,27741,34253,29787,27747,34253
Normalize,120x16,336271,239076,336296,243403,239082,336296
CLS Concatenate,120x16,27134,19381,27159,21325,19387,27159
Positional embedding,120x16,32815,26273,32840,28458,26279,32840
Normalize,121x16,339163,240898,339188,245261,240904,339188
Multiply,121x16x4,120658,94757,120683,95368,94763,120683
Multiply,121x16x4,120658,94757,120683,95368,94763,120683
Multiply,121x16x4,120658,94757,120683,95368,94763,120683
Transpose,121x4,3959,2965,3984,2971,2971,3984
MatMul scale,484,4861,3402,4886,3408,3408,4886
MatMul,121x4x121,1070764,733528,1070789,733534,733534,1070789
Softermax,121x121,3263777,1856848,3263802,1856854,1856854,3263802
MatMul,121x121x4,886723,591958,886748,591964,591964,886748
Multiply,121x16x4,120658,94757,120683,95368,94763,120683
Multiply,121x16x4,120658,94757,120683,95368,94763,120683
Multiply,121x16x4,120658,94757,120683,95368,94763,120683
Transpose,121x4,3959,2965,3984,2971,2971,3984
MatMul scale,484,4861,3402,4886,3408,3408,4886
MatMul,121x4x121,1070764,733528,1070789,733534,733534,1070789
Softermax,121x121,3263777,1856848,3263802,1856854,1856854,3263802
MatMul,121x121x4,886723,591958,886748,591964,591964,886748
Multiply,121x16x4,120658,94757,120683,95368,94763,120683
Multiply,121x16x4,120658,94757,120683,95368,94763,120683
Multiply,121x16x4,120658,94757,120683,95368,94763,120683
Transpose,121x4,3959,2965,3984,2971,2971,3984
MatMul scale,484,4861,3402,4886,3408,3408,4886
MatMul,121x4x121,1070764,733528,1070789,733534,733534,1070789
Softermax,121x121,3263777,1856848,3263802,1856854,1856854,3263802
MatMul,121x121x4,886723,591958,886748,591964,591964,886748
Multiply,121x16x4,120658,94757,120683,95368,94763,120683
Multiply,121x16x4,120658,94757,120683,95368,94763,120683
Multiply,121x16x4,120658,94757,120683,95368,94763,120683
Transpose,121x4,3959,2965,3984,2971,2971,3984
MatMul scale,484,4861,3402,4886,3408,3408,4886
MatMul,121x4x121,1070764,733528,1070789,733534,733534,1070789
Softermax,121x121,3263777,1856848,3263802,1856854,1856854,3263802
MatMul,121x121x4,28587,19622,28612,19628,19628,28612
Multiply,121x16x16,477850,376445,477875,378508,376451,477875
Add bias,121x16,34513,27972,34538,30035,27978,34538
Add,121x16,29069,19382,29094,19388,19388,29094
Normalize,121x16,320474,231299,320499,235797,231305,320499
Multiply,121x16x4,120658,94757,120683,95368,94763,120683
Add bias,121x4,9829,7644,9854,8255,7650,9854
GELU PWL,484,8293,4293,8318,4783,4299,8318
Multiply,121x4x16,152602,120893,152627,122956,120899,152627
Add bias,121x16,34513,27972,34538,30035,27978,34538
Add,121x16,29069,19382,29094,19388,19388,29094
Normalize,121x16,339163,240898,339188,245261,240904,339188
Multiply,121x16x4,120658,94757,120683,95368,94763,120683
Multiply,121x16x4,120658,94757,120683,95368,94763,120683
Multiply,121x16x4,120658,94757,120683,95368,94763,120683
Transpose,121x4,3959,2965,3984,2971,2971,3984
MatMul scale,484,4861,3402,4886,3408,3408,4886
MatMul,121x4x121,1070764,733528,1070789,733534,733534,1070789
Softermax,121x121,3263777,1856848,3263802,1856854,1856854,3263802
MatMul,121x121x4,886723,591958,886748,591964,591964,886748
