function,size,cc,instr,lds
Normalize,120x400,3014821,2175151,3014846
Multiply,120x400x16,11563821,8483414,11563846
Normalize,120x16,34873,26274,34898
Normalize,121x16,320681,229558,320706
Multiply,121x16x4,128402,94757,128427
Multiply,121x16x4,128402,94757,128427
Multiply,121x16x4,128402,94757,128427
Transpose,121x4,5830,3403,5855
MatMul,121x4x121,1070764,733528,1070789
Softermax,121x121,3240403,1870155,3240428
MatMul,121x121x4,886723,591958,886748
Multiply,121x16x4,128402,94757,128427
Multiply,121x16x4,128402,94757,128427
Multiply,121x16x4,128402,94757,128427
Transpose,121x4,5830,3403,5855
MatMul,121x4x121,1070764,733528,1070789
Softermax,121x121,3240403,1870155,3240428
MatMul,121x121x4,886723,591958,886748
Multiply,121x16x4,128402,94757,128427
Multiply,121x16x4,128402,94757,128427
Multiply,121x16x4,128402,94757,128427
Transpose,121x4,5830,3403,5855
MatMul,121x4x121,1070764,733528,1070789
Softermax,121x121,3240403,1870155,3240428
MatMul,121x121x4,886723,591958,886748
Multiply,121x16x4,128402,94757,128427
Multiply,121x16x4,128402,94757,128427
Multiply,121x16x4,128402,94757,128427
Transpose,121x4,5830,3403,5855
MatMul,121x4x121,1070764,733528,1070789
Softermax,121x121,3240403,1870155,3240428
MatMul,121x121x4,28710,19624,28735
Multiply,121x16x16,508826,376445,508851
Add,121x16,29069,19382,29094
Normalize,121x16,324438,231371,324463
Multiply,121x16x4,7018,4377,7043
Multiply,121x4x16,160346,120893,160371
Add,121x16,29069,19382,29094
Normalize,121x16,325722,231996,325747
Multiply,121x16x4,128402,94757,128427
Multiply,121x16x4,128402,94757,128427
Multiply,121x16x4,128402,94757,128427
Transpose,121x4,5830,3403,5855
MatMul,121x4x121,1070764,733528,1070789
Softermax,121x121,3241218,1871353,3241243
MatMul,121x121x4,886723,591958,886748
Multiply,121x16x4,128402,94757,128427
Multiply,121x16x4,128402,94757,128427
Multiply,121x16x4,128402,94757,128427
Transpose,121x4,5830,3403,5855
MatMul,121x4x121,1070764,733528,1070789
Softermax,121x121,3241218,1871353,3241243
MatMul,121x121x4,886723,591958,886748
Multiply,121x16x4,128402,94757,128427
Multiply,121x16x4,128402,94757,128427
Multiply,121x16x4,128402,94757,128427
Transpose,121x4,5830,3403,5855
MatMul,121x4x121,1070764,733528,1070789
Softermax,121x121,3241218,1871353,3241243
MatMul,121x121x4,886723,591958,886748
Multiply,121x16x4,128402,94757,128427
Multiply,121x16x4,128402,94757,128427
Multiply,121x16x4,128402,94757,128427
Transpose,121x4,5830,3403,5855
MatMul,121x4x121,1070764,733528,1070789
Softermax,121x121,3241218,1871353,3241243
MatMul,121x121x4,28710,19624,28735
Multiply,121x16x16,508826,376445,508851
Add,121x16,29069,19382,29094
Normalize,121x16,321517,229980,321542
Multiply,121x16x4,6952,4263,6977
Multiply,121x4x16,160346,120893,160371
Add,121x16,29069,19382,29094
Normalize,121x16,326621,232480,326646
Multiply,121x16x4,128402,94757,128427
Multiply,121x16x4,128402,94757,128427
Multiply,121x16x4,128402,94757,128427
Transpose,121x4,5830,3403,5855
MatMul,121x4x121,1070764,733528,1070789
Softermax,121x121,3240423,1870809,3240448
MatMul,121x121x4,886723,591958,886748
Multiply,121x16x4,128402,94757,128427
Multiply,121x16x4,128402,94757,128427
Multiply,121x16x4,128402,94757,128427
Transpose,121x4,5830,3403,5855
MatMul,121x4x121,1070764,733528,1070789
Softermax,121x121,,,
