RowsA,ColsA,ColsB,CGRA,CPU,Speedup
32,32,32,34962,469535,"13,43"
32,32,33,35525,517991,"14,58"
32,32,34,36213,533671,"14,74"
32,32,35,49890,549351,"11,01"
32,33,32,35986,483839,"13,45"
32,33,33,36548,533760,"14,60"
32,33,34,36178,514123,"14,21"
32,33,35,51368,529227,"10,30"
32,34,32,37010,498175,"13,46"
32,34,33,37612,513803,"13,66"
32,34,34,38308,566240,"14,78"
32,34,35,52873,544907,"10,31"
32,35,32,38034,512511,"13,48"
32,35,33,38656,528587,"13,67"
32,35,34,39437,544587,"13,81"
32,35,35,54435,599680,"11,02"
33,32,32,34983,517933,"14,81"
33,32,33,35682,499360,"13,99"
33,32,34,50927,514479,"10,10"
33,32,35,65489,529593,"8,09"
33,33,32,36030,533773,"14,81"
33,33,33,36679,514566,"14,03"
33,33,34,51907,567176,"10,93"
33,33,35,67450,583841,"8,66"
33,34,32,37054,549620,"14,83"
33,34,33,37689,529852,"14,06"
33,34,34,53994,583933,"10,81"
33,34,35,69416,561933,"8,10"
33,35,32,38078,565460,"14,85"
33,35,33,38682,545098,"14,09"
33,35,34,55530,561603,"10,11"
33,35,35,73419,618418,"8,42"
34,32,32,35306,533626,"15,11"
34,32,33,49372,514495,"10,42"
34,32,34,67724,530062,"7,83"
34,32,35,84429,583686,"6,91"
34,33,32,36336,549953,"15,14"
34,33,33,50853,567116,"11,15"
34,33,34,70246,546246,"7,78"
34,33,35,86984,601536,"6,92"
34,34,32,37354,566266,"15,16"
34,34,33,52300,584021,"11,17"
34,34,34,69640,562389,"8,08"
34,34,35,89540,578954,"6,47"
34,35,32,38372,582593,"15,18"
34,35,33,53811,561619,"10,44"
34,35,34,71621,578614,"8,08"
34,35,35,89163,595573,"6,68"
35,32,32,39252,513548,"13,08"
35,32,33,40097,529625,"13,21"
35,32,34,40566,545655,"13,45"
35,32,35,54639,600846,"11,00"
35,33,32,40404,529200,"13,10"
35,33,33,41242,583794,"14,16"
35,33,34,40677,562315,"13,82"
35,33,35,56294,619221,"11,00"
35,34,32,41556,544880,"13,11"
35,34,33,42418,561965,"13,25"
35,34,34,43010,619319,"14,40"
35,34,35,57989,637596,"11,00"
35,35,32,42708,560553,"13,13"
35,35,33,43595,618521,"14,19"
35,35,34,44229,637246,"14,41"
35,35,35,59623,655894,"11,00"
36,32,32,39274,528219,"13,45"
36,32,33,40154,544755,"13,57"
36,32,34,40600,561243,"13,82"
36,32,35,56030,577731,"10,31"
36,33,32,40426,544318,"13,46"
36,33,33,41334,600472,"14,53"
36,33,34,40696,578379,"14,21"
36,33,35,57727,595371,"10,31"
36,34,32,41578,560446,"13,48"
36,34,33,42513,578019,"13,60"
36,34,34,43034,637012,"14,80"
36,34,35,59464,613011,"10,31"
36,35,32,42730,576574,"13,49"
36,35,33,43692,594651,"13,61"
36,35,34,44246,612651,"13,85"
36,35,35,61257,674632,"11,01"
37,32,32,39376,580705,"14,75"
37,32,33,40061,598921,"14,95"
37,32,34,55203,576831,"10,45"
37,32,35,71605,593777,"8,29"
37,33,32,40528,598472,"14,77"
37,33,33,41228,576930,"13,99"
37,33,34,56685,594443,"10,49"
37,33,35,73772,611907,"8,29"
37,34,32,41680,616232,"14,78"
37,34,33,42364,635551,"15,00"
37,34,34,58535,654705,"11,18"
37,34,35,75939,630037,"8,30"
37,35,32,42832,633992,"14,80"
37,35,33,43563,653866,"15,01"
37,35,34,60201,629667,"10,46"
37,35,35,80352,693370,"8,63"
38,32,32,39657,596398,"15,04"
38,32,33,52312,575015,"10,99"
38,32,34,71934,633726,"8,81"
38,32,35,90556,652346,"7,20"
38,33,32,40808,614645,"15,06"
38,33,33,53878,633828,"11,76"
38,33,34,74926,653106,"8,72"
38,33,35,93315,672296,"7,20"
38,34,32,41959,632885,"15,08"
38,34,33,55450,610127,"11,00"
38,34,34,74064,628545,"8,49"
38,34,35,96052,692246,"7,21"
38,35,32,43117,651125,"15,10"
38,35,33,57026,627683,"11,01"
38,35,34,76161,691866,"9,08"
38,35,35,96035,665633,"6,93"
39,32,32,43561,572232,"13,14"
39,32,33,44707,590145,"13,20"
39,32,34,45042,608007,"13,50"
39,32,35,60868,625869,"10,28"
39,33,32,44841,589672,"13,15"
39,33,33,46021,650506,"14,13"
39,33,34,45204,626571,"13,86"
39,33,35,62690,644979,"10,29"
39,34,32,46121,607144,"13,16"
39,34,33,47368,626181,"13,22"
39,34,34,47706,690091,"14,47"
39,34,35,64552,664089,"10,29"
39,35,32,47401,624616,"13,18"
39,35,33,48682,644199,"13,23"
39,35,34,49033,663699,"13,54"
39,35,35,66287,730846,"11,03"
40,32,32,43586,586903,"13,47"
40,32,33,44740,605275,"13,53"
40,32,34,45086,623595,"13,83"
40,32,35,62239,641915,"10,31"
40,33,32,44866,604790,"13,48"
40,33,33,46055,667184,"14,49"
40,33,34,45214,642635,"14,21"
40,33,35,64103,661515,"10,32"
40,34,32,46146,622710,"13,49"
40,34,33,47403,642235,"13,55"
40,34,34,47742,707784,"14,83"
40,34,35,66007,681115,"10,32"
40,35,32,47426,640630,"13,51"
40,35,33,48718,660715,"13,56"
40,35,34,49065,680715,"13,87"
40,35,35,67892,749584,"11,04"
41,32,32,43737,643477,"14,71"
41,32,33,44542,663661,"14,90"
41,32,34,59346,639183,"10,77"
41,32,35,77802,657961,"8,46"
41,33,32,45017,663164,"14,73"
41,33,33,45841,639294,"13,95"
41,33,34,61229,658699,"10,76"
41,33,35,80137,678051,"8,46"
41,34,32,46297,682844,"14,75"
41,34,33,47141,704251,"14,94"
41,34,34,62924,725477,"11,53"
41,34,35,82472,698141,"8,47"
41,35,32,47577,702524,"14,77"
41,35,33,48409,724546,"14,97"
41,35,34,64709,697731,"10,78"
41,35,35,87104,768322,"8,82"
42,32,32,44000,659170,"14,98"
42,32,33,55104,635535,"11,53"
42,32,34,76162,700426,"9,20"
42,32,35,96744,721006,"7,45"
42,33,32,45279,679337,"15,00"
42,33,33,56754,700540,"12,34"
42,33,34,79282,721846,"9,10"
42,33,35,99691,743056,"7,45"
42,34,32,46559,699497,"15,02"
42,34,33,58410,674343,"11,54"
42,34,34,78649,694701,"8,83"
42,34,35,102616,765106,"7,46"
42,35,32,47838,719657,"15,04"
42,35,33,60070,693747,"11,55"
42,35,34,80858,764686,"9,46"
42,35,35,102788,735693,"7,16"
43,32,32,47895,630916,"13,17"
43,32,33,49117,650665,"13,25"
43,32,34,49551,670359,"13,53"
43,32,35,67129,690053,"10,28"
43,33,32,49303,650144,"13,19"
43,33,33,50562,717218,"14,18"
43,33,34,49680,690827,"13,91"
43,33,35,69119,711123,"10,29"
43,34,32,50711,669408,"13,20"
43,34,33,52040,690397,"13,27"
43,34,34,52439,760863,"14,51"
43,34,35,71149,732193,"10,29"
43,35,32,52119,688672,"13,21"
43,35,33,53485,710263,"13,28"
43,35,34,53878,731763,"13,58"
43,35,35,73039,805798,"11,03"
44,32,32,47895,645587,"13,48"
44,32,33,49150,665795,"13,55"
44,32,34,49611,685947,"13,83"
44,32,35,68500,706099,"10,31"
44,33,32,49303,665262,"13,49"
44,33,33,50596,733896,"14,51"
44,33,34,49690,706891,"14,23"
44,33,35,70532,727659,"10,32"
44,34,32,50711,684974,"13,51"
44,34,33,52075,706451,"13,57"
44,34,34,52491,778556,"14,83"
44,34,35,72604,749219,"10,32"
44,35,32,52119,704686,"13,52"
44,35,33,53521,726779,"13,58"
44,35,34,53926,748779,"13,89"
44,35,35,74644,824536,"11,05"
45,32,32,48046,706249,"14,70"
45,32,33,48945,728401,"14,88"
45,32,34,63574,701535,"11,03"
45,32,35,84063,722145,"8,59"
45,33,32,49454,727856,"14,72"
45,33,33,50368,701658,"13,93"
45,33,34,65806,722955,"10,99"
45,33,35,86566,744195,"8,60"
45,34,32,50862,749456,"14,74"
45,34,33,51792,772951,"14,92"
45,34,34,67408,796249,"11,81"
45,34,35,89069,766245,"8,60"
45,35,32,52270,771056,"14,75"
45,35,33,53184,795226,"14,95"
45,35,34,69321,765795,"11,05"
45,35,35,93856,843274,"8,98"
46,32,32,48309,721942,"14,94"
46,32,33,57791,696055,"12,04"
46,32,34,80390,767126,"9,54"
46,32,35,102930,789666,"7,67"
46,33,32,49716,744029,"14,97"
46,33,33,59523,767252,"12,89"
46,33,34,83634,790586,"9,45"
46,33,35,106067,813816,"7,67"
46,34,32,51124,766109,"14,99"
46,34,33,61302,738559,"12,05"
46,34,34,83298,760857,"9,13"
46,34,35,109180,837966,"7,68"
46,35,32,52531,788189,"15,00"
46,35,33,63046,759811,"12,05"
46,35,34,85619,837506,"9,78"
46,35,35,109605,805753,"7,35"
47,32,32,52204,689600,"13,21"
47,32,33,53558,711185,"13,28"
47,32,34,54083,732711,"13,55"
47,32,35,73278,754237,"10,29"
47,33,32,53740,710616,"13,22"
47,33,33,55135,783930,"14,22"
47,33,34,54155,755083,"13,94"
